"quality","class","variable","value"
5,"Mediocre","Fixed acidity",-0.528194370248712
5,"Mediocre","Fixed acidity",-0.298454064766851
5,"Mediocre","Fixed acidity",-0.298454064766851
6,"Mediocre","Fixed acidity",1.65433853182897
5,"Mediocre","Fixed acidity",-0.528194370248712
5,"Mediocre","Fixed acidity",-0.528194370248712
5,"Mediocre","Fixed acidity",-0.241018988396386
7,"Good","Fixed acidity",-0.585629446619177
7,"Good","Fixed acidity",-0.298454064766851
5,"Mediocre","Fixed acidity",-0.470759293878247
5,"Mediocre","Fixed acidity",-0.930239904841969
5,"Mediocre","Fixed acidity",-0.470759293878247
5,"Mediocre","Fixed acidity",-1.56202574491709
5,"Mediocre","Fixed acidity",-0.298454064766851
5,"Mediocre","Fixed acidity",0.333331775308267
5,"Mediocre","Fixed acidity",0.333331775308267
7,"Good","Fixed acidity",0.103591469826405
5,"Mediocre","Fixed acidity",-0.126148835655456
4,"Poor","Fixed acidity",-0.528194370248712
6,"Mediocre","Fixed acidity",-0.241018988396386
6,"Mediocre","Fixed acidity",0.333331775308267
5,"Mediocre","Fixed acidity",-0.413324217507782
5,"Mediocre","Fixed acidity",-0.241018988396386
5,"Mediocre","Fixed acidity",0.103591469826405
6,"Mediocre","Fixed acidity",-0.815369752101038
5,"Mediocre","Fixed acidity",-1.15998021032383
5,"Mediocre","Fixed acidity",-0.413324217507782
5,"Mediocre","Fixed acidity",-0.241018988396386
5,"Mediocre","Fixed acidity",-0.700499599360108
6,"Mediocre","Fixed acidity",-0.298454064766851
5,"Mediocre","Fixed acidity",-0.930239904841969
6,"Mediocre","Fixed acidity",-0.815369752101038
5,"Mediocre","Fixed acidity",-0.0112786829145246
6,"Mediocre","Fixed acidity",-0.815369752101038
5,"Mediocre","Fixed acidity",-1.79176605039895
6,"Mediocre","Fixed acidity",-0.298454064766851
6,"Mediocre","Fixed acidity",-0.298454064766851
7,"Good","Fixed acidity",-0.126148835655456
4,"Poor","Fixed acidity",-1.50459066854662
5,"Mediocre","Fixed acidity",-0.585629446619177
5,"Mediocre","Fixed acidity",-0.585629446619177
4,"Poor","Fixed acidity",0.275896698937801
6,"Mediocre","Fixed acidity",-0.470759293878247
5,"Mediocre","Fixed acidity",-0.126148835655456
5,"Mediocre","Fixed acidity",-0.872804828471503
4,"Poor","Fixed acidity",-2.13637650862174
5,"Mediocre","Fixed acidity",-0.355889141137316
5,"Mediocre","Fixed acidity",0.218461622567335
5,"Mediocre","Fixed acidity",-1.10254513395336
5,"Mediocre","Fixed acidity",-1.56202574491709
5,"Mediocre","Fixed acidity",0.275896698937801
6,"Mediocre","Fixed acidity",-0.987674981212434
6,"Mediocre","Fixed acidity",-0.987674981212434
5,"Mediocre","Fixed acidity",0.16102654619687
6,"Mediocre","Fixed acidity",-0.413324217507782
5,"Mediocre","Fixed acidity",-0.355889141137316
5,"Mediocre","Fixed acidity",1.07998776812431
5,"Mediocre","Fixed acidity",-0.470759293878247
5,"Mediocre","Fixed acidity",-0.298454064766851
6,"Mediocre","Fixed acidity",-0.585629446619177
5,"Mediocre","Fixed acidity",0.275896698937801
5,"Mediocre","Fixed acidity",-0.355889141137316
7,"Good","Fixed acidity",-0.470759293878247
5,"Mediocre","Fixed acidity",-0.757934675730573
5,"Mediocre","Fixed acidity",-0.643064522989642
5,"Mediocre","Fixed acidity",-0.643064522989642
5,"Mediocre","Fixed acidity",-0.470759293878247
5,"Mediocre","Fixed acidity",-0.987674981212434
5,"Mediocre","Fixed acidity",0.563072080790128
6,"Mediocre","Fixed acidity",-0.183583912025921
6,"Mediocre","Fixed acidity",-0.355889141137316
5,"Mediocre","Fixed acidity",-0.355889141137316
5,"Mediocre","Fixed acidity",-0.355889141137316
4,"Poor","Fixed acidity",-0.0112786829145246
5,"Mediocre","Fixed acidity",0.792812386271988
5,"Mediocre","Fixed acidity",0.275896698937801
5,"Mediocre","Fixed acidity",0.275896698937801
6,"Mediocre","Fixed acidity",-0.872804828471503
5,"Mediocre","Fixed acidity",-0.930239904841969
4,"Poor","Fixed acidity",-0.0112786829145246
5,"Mediocre","Fixed acidity",-1.21741528669429
5,"Mediocre","Fixed acidity",-0.298454064766851
5,"Mediocre","Fixed acidity",-0.528194370248712
5,"Mediocre","Fixed acidity",-0.585629446619177
6,"Mediocre","Fixed acidity",-1.15998021032383
5,"Mediocre","Fixed acidity",-0.815369752101038
6,"Mediocre","Fixed acidity",0.16102654619687
5,"Mediocre","Fixed acidity",-0.355889141137316
5,"Mediocre","Fixed acidity",0.563072080790128
5,"Mediocre","Fixed acidity",-0.757934675730573
5,"Mediocre","Fixed acidity",-0.241018988396386
6,"Mediocre","Fixed acidity",0.16102654619687
5,"Mediocre","Fixed acidity",0.16102654619687
5,"Mediocre","Fixed acidity",-0.355889141137316
4,"Poor","Fixed acidity",-1.90663620313988
6,"Mediocre","Fixed acidity",-2.07894143225127
5,"Mediocre","Fixed acidity",-0.872804828471503
5,"Mediocre","Fixed acidity",-0.757934675730573
5,"Mediocre","Fixed acidity",-0.413324217507782
6,"Mediocre","Fixed acidity",-0.126148835655456
6,"Mediocre","Fixed acidity",-0.0112786829145246
6,"Mediocre","Fixed acidity",-0.298454064766851
6,"Mediocre","Fixed acidity",-0.126148835655456
5,"Mediocre","Fixed acidity",-0.126148835655456
5,"Mediocre","Fixed acidity",-0.643064522989642
5,"Mediocre","Fixed acidity",-0.126148835655456
5,"Mediocre","Fixed acidity",-0.298454064766851
5,"Mediocre","Fixed acidity",-1.21741528669429
6,"Mediocre","Fixed acidity",-0.183583912025921
5,"Mediocre","Fixed acidity",-0.126148835655456
5,"Mediocre","Fixed acidity",-0.298454064766851
5,"Mediocre","Fixed acidity",0.0461563934559404
5,"Mediocre","Fixed acidity",0.0461563934559404
6,"Mediocre","Fixed acidity",1.02255269175385
5,"Mediocre","Fixed acidity",-0.298454064766851
6,"Mediocre","Fixed acidity",0.620507157160593
6,"Mediocre","Fixed acidity",-0.0112786829145246
6,"Mediocre","Fixed acidity",-0.298454064766851
6,"Mediocre","Fixed acidity",0.275896698937801
6,"Mediocre","Fixed acidity",-0.757934675730573
5,"Mediocre","Fixed acidity",-0.585629446619177
6,"Mediocre","Fixed acidity",0.275896698937801
5,"Mediocre","Fixed acidity",-0.585629446619177
5,"Mediocre","Fixed acidity",-0.183583912025921
5,"Mediocre","Fixed acidity",-0.298454064766851
5,"Mediocre","Fixed acidity",0.390766851678732
5,"Mediocre","Fixed acidity",-0.0687137592849907
5,"Mediocre","Fixed acidity",-0.126148835655456
7,"Good","Fixed acidity",-0.183583912025921
5,"Mediocre","Fixed acidity",-1.27485036306476
5,"Mediocre","Fixed acidity",-0.183583912025921
5,"Mediocre","Fixed acidity",-1.56202574491709
5,"Mediocre","Fixed acidity",-1.56202574491709
6,"Mediocre","Fixed acidity",-0.987674981212434
6,"Mediocre","Fixed acidity",-0.241018988396386
5,"Mediocre","Fixed acidity",0.0461563934559404
5,"Mediocre","Fixed acidity",-0.0112786829145246
